movie_id,title,genre,mood,language,rating,year,description
1,Inception,Sci-Fi,Thrilling,English,8.8,2010,"A thief who steals secrets via dream-sharing technology takes on a final job."
2,The Shawshank Redemption,Drama,Inspiring,English,9.3,1994,"Two imprisoned men bond over years finding solace and redemption through hope."
3,3 Idiots,Comedy,Heartwarming,Hindi,8.4,2009,"Three engineering students navigate friendship and the pressures of education."
4,Interstellar,Sci-Fi,Thought-provoking,English,8.6,2014,"A team of explorers travel through a wormhole to ensure humanity's survival."
5,Dangal,Drama,Inspiring,Hindi,8.4,2016,"A former wrestler trains his daughters to become world-class wrestlers."
6,The Dark Knight,Action,Thrilling,English,9.0,2008,"Batman faces the Joker, a criminal mastermind who plunges Gotham into chaos."
7,Zindagi Na Milegi Dobara,Comedy,Heartwarming,Hindi,8.2,2011,"Three friends on a bachelor trip rediscover life and themselves."
8,Pursuit of Happyness,Drama,Inspiring,English,8.0,2006,"A struggling salesman battles homelessness while raising his son."
9,Avengers: Endgame,Action,Thrilling,English,8.4,2019,"The Avengers assemble for a final stand against Thanos."
10,Taare Zameen Par,Drama,Heartwarming,Hindi,8.4,2007,"A teacher helps a dyslexic child discover his hidden talents."
11,Parasite,Thriller,Thought-provoking,Korean,8.5,2019,"A poor family infiltrates a wealthy household, with unexpected consequences."
12,Friends,Comedy,Lighthearted,English,8.9,1994,"Six friends navigate life, love, and careers in New York City."
13,Andhadhun,Thriller,Thrilling,Hindi,8.2,2018,"A blind pianist becomes entangled in a murder mystery."
14,The Pianist,Drama,Thought-provoking,English,8.5,2002,"A Jewish pianist struggles to survive the destruction of Warsaw during WWII."
15,Lagaan,Drama,Inspiring,Hindi,8.1,2001,"Villagers challenge British officers to a cricket match to escape taxation."
16,Stranger Things,Sci-Fi,Thrilling,English,8.7,2016,"Kids in a small town uncover supernatural mysteries and government secrets."
17,Queen,Comedy,Heartwarming,Hindi,8.2,2014,"A young woman embarks on a solo honeymoon after being jilted before her wedding."
18,Joker,Drama,Thought-provoking,English,8.4,2019,"A failed comedian descends into madness and becomes an icon of chaos."
19,Swades,Drama,Inspiring,Hindi,8.2,2004,"An NRI returns to India and is moved to help his village develop."
20,Money Heist,Thriller,Thrilling,Spanish,8.2,2017,"A criminal mastermind orchestrates the biggest heist in history."
21,The Office,Comedy,Lighthearted,English,8.9,2005,"Mockumentary on the daily lives of office employees at a paper company."
22,Chhichhore,Comedy,Heartwarming,Hindi,7.9,2019,"College friends reunite to help one of their sons cope with failure."
23,Breaking Bad,Drama,Thrilling,English,9.5,2008,"A chemistry teacher turns to manufacturing drugs after a cancer diagnosis."
24,PK,Comedy,Thought-provoking,Hindi,8.1,2014,"An alien on Earth questions religious dogma and societal norms."
25,Inside Out,Animation,Heartwarming,English,8.1,2015,"Emotions personified guide a young girl through a major life change."
26,Dil Chahta Hai,Drama,Heartwarming,Hindi,8.1,2001,"Three friends navigate love, friendship, and growing up."
27,The Social Network,Drama,Thought-provoking,English,7.7,2010,"The founding story of Facebook and the legal battles that followed."
28,Kabhi Khushi Kabhie Gham,Drama,Heartwarming,Hindi,7.3,2001,"A family drama exploring love, duty, and estrangement."
29,Sherlock,Thriller,Thought-provoking,English,9.1,2010,"A modern take on the brilliant detective solving complex crimes."
30,Article 15,Drama,Thought-provoking,Hindi,8.0,2019,"A police officer investigates caste-based violence in rural India."
31,Baahubali: The Beginning,Action,Thrilling,Telugu,8.0,2015,"A young man uncovers his royal destiny and rises to reclaim his kingdom from a tyrant."
32,One Piece,Animation,Inspiring,Japanese,8.7,1999,"Luffy and his pirate crew sail the seas in search of the ultimate treasure to become the Pirate King."
33,Baahubali 2: The Conclusion,Action,Thrilling,Telugu,9.7,2017,"The truth behind a betrayal is revealed as a son rises to reclaim his throne and avenge his father."
